"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"92","Normal/Others","WS/MP187/2023-2024/1573-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","10-Feb-2024","283000"
"93","Normal/Others","WS/MP187/2023-2024/1507-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"94","Normal/Others","WS/MP187/2023-2024/1558-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","11-Feb-2024","283000"
"95","Normal/Others","WS/MP187/2023-2024/1559-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","11-Feb-2024","283000"
"96","Normal/Others","WS/MP187/2023-2024/1366-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High MAsk Street Light","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","23-Feb-2024","283000"
"97","Normal/Others","WS/MP015/2023-2024/5133-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Paver Block Road - 2022-2023","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","25-Aug-2023","499518"
"98","Normal/Others","WS/MP015/2023-2024/5141-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Providing Paver block road from RamanathaSwamy Kovil Street in Puliyangudi Village at Puliyangudi Pt. (2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Sep-2023","499518"
"99","Normal/Others","WS/MP015/2023-2024/5144-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Concrete Cement  Road from Loorthupuram village at Posukudi Pt (2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Sep-2023","998022"
"100","Normal/Others","WS/MP015/2023-2024/5142-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Providing Paver Block Road from Nadu Street in Puliyankudi Village at Puliyankudi Pt (2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Sep-2023","499518"
"101","Normal/Others","WS/MP187/2023-2024/1433-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask LED Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"102","Normal/Others","WS/MP187/2023-2024/1434-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask LED Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"103","Normal/Others","WS/MP187/2023-2024/1505-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"104","Normal/Others","WS/MP187/2023-2024/1504-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","21-Feb-2024","283000"
"105","Normal/Others","WS/MP187/2023-2024/1563-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","15-Feb-2024","283000"
"106","Normal/Others","WS/MP187/2023-2024/1560-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","11-Feb-2024","283000"
"107","Normal/Others","WS/MP187/2023-2024/1568-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","11-Feb-2024","283000"
"108","Normal/Others","WS/MP187/2023-2024/1567-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","10-Feb-2024","283000"
"109","Normal/Others","WS/MP187/2023-2024/1569-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","10-Feb-2024","283000"
"110","Normal/Others","WS/MP187/2023-2024/1570-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","10-Feb-2024","283000"
"111","Normal/Others","WS/MP187/2023-2024/1571-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","10-Feb-2024","283000"
"112","Normal/Others","WS/MP187/2023-2024/1572-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","10-Feb-2024","283000"
"113","Normal/Others","WS/MP190/2023-2024/1301-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED Semi HighMast Light","Shri Mithlesh Kumar (2022-28) (NaN-NaN)","Elected MP","Images","02-Mar-2024","243000"
"114","Normal/Others","WS/MP190/2023-2024/1305-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED Semi Highmast Light","Shri Mithlesh Kumar (2022-28) (NaN-NaN)","Elected MP","Images","02-Mar-2024","243000"
"115","Normal/Others","WS/MP190/2023-2024/1304-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED Semi Highmast Light","Shri Mithlesh Kumar (2022-28) (NaN-NaN)","Elected MP","Images","02-Mar-2024","243000"
"116","Normal/Others","WS/MP190/2023-2024/1302-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED Semi Highmast Light","Shri Mithlesh Kumar (2022-28) (NaN-NaN)","Elected MP","Images","02-Mar-2024","243000"
"117","Normal/Others","WS/MP190/2023-2024/1303-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED SEMI High Mast Light","Shri Mithlesh Kumar (2022-28) (NaN-NaN)","Elected MP","Images","02-Mar-2024","243000"
"118","Normal/Others","WS/MP190/2023-2024/1840-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED Semi highmast light","Shri Mithlesh Kumar (2022-28) (NaN-NaN)","Elected MP","Images","02-Mar-2024","243000"
"119","Normal/Others","WS/MP190/2023-2024/1843-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED Semi highmast Light","Shri Mithlesh Kumar (2022-28) (NaN-NaN)","Elected MP","Images","02-Mar-2024","243000"
"120","Normal/Others","WS/MP190/2023-2024/1842-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED Semi highmast Light","Shri Mithlesh Kumar (2022-28) (NaN-NaN)","Elected MP","Images","02-Mar-2024","243000"
"121","Normal/Others","WS/MP190/2023-2024/1841-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED Semi highmast Light","Shri Mithlesh Kumar (2022-28) (NaN-NaN)","Elected MP","Images","02-Mar-2024","243000"
"122","Normal/Others","WS/MP190/2023-2024/1844-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED Semi high mast Light","Shri Mithlesh Kumar (2022-28) (NaN-NaN)","Elected MP","Images","02-Mar-2024","243000"
"123","Normal/Others","WS/MP198/2023-2024/7878-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","NEAA NAGLA BLOCK BILSANDA ME RAM KUMAR GOTAM S/O SHRI RAMESHWAR DWARA SEMI HIGH MAST LIGHT","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"124","Normal/Others","WS/MP198/2023-2024/7873-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM JOGITHER BLOCK BISALPUR ME DR. BHIM RAW AMBEDKAR PARK KE PASS SEMI HIGH MAST LIGHT","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"125","Normal/Others","WS/MP198/2023-2024/7874-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM CHURRA GOTIYA BLOCK BISALPUR ME DR. BHIM RAW AMBEDKAR PARK KE PASS SEMI HIGH MAST LIGHT","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"126","Normal/Others","WS/MP198/2023-2024/7875-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM BARAPATTHAR CHORAHA BISALPUR ME DR. BHIM RAW AMBEDKAR PARK KE PASS SEMI HIGH MAST LIGHT","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"127","Normal/Others","WS/MP198/2023-2024/7876-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","WARD NO. 2 MOHALLA DURGA PARSAD BISALPUR BLOCK BISALPUR ME DR. BHIM RAW AMBEDKAR PARK KE PASS SEMI HIGH MAST LIGHT","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"128","Normal/Others","WS/MP198/2023-2024/7877-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM KARELI BLOCK BILSANDA ME RAM MURTI GOTAM S/O SHRI RAM CHANDRA LAT DWARA SEMI HIGH MAST LIGHT","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"129","Normal/Others","WS/MP198/2023-2024/7882-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","WARD NO. 2 MOHALLA DURGA PARSAD BLOCK BISALPUR ME NARENDRA KUMAR SAGAR S/O TEJ RAM DWARA SEMI HIGH MAST LIGHT (S.C BAHULYA CHHETRA)","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"130","Normal/Others","WS/MP198/2023-2024/7881-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM CHARKHAULA BLOCK BILSANDA ME RAJU GOTAM S/O SHRI RAM SAHAY DWARA SEMI HIGH MAST LIGHT (S.C BAHULYA CHHETRA)","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"131","Normal/Others","WS/MP198/2023-2024/7880-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM BICHPURI BLOCK BILSANDA ME BHANU PARTAP S/O RAMESHWAR DWARA SEMI HIGH MAST LIGHT","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"132","Normal/Others","WS/MP198/2023-2024/7879-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM CHARKHAULA BLOCK BILSANDA ME RAM NARESH S/O LUKAI RAM DWARA SEMI HIGH MAST LIGHT","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"133","Normal/Others","WS/MP198/2023-2024/7884-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","WARD NO. 2 MOHALLA DURGA PARSAD BISALPUR BLOCK BISALPUR ME ALOK KUMAR S/O SHRI PUTTU LAL DWARA SEMI HIGH MAST LIGHT (S.C BAHULYA CHHETRA)","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"134","Normal/Others","WS/MP198/2023-2024/7886-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM MUNDIA HULAS BLOCK BISALPUR ME BRAJNANDAN LAL S/O SHRI SHYAM LAL DWARA SEMI HIGH MAST LIGHT","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"135","Normal/Others","WS/MP198/2023-2024/7887-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","WARD NO. 25 PATEL NAGAR BISALPUR BLOCK BISALPUR ME PITAM RAM JI S/O SHRI PURAN LAL DWARA SEMI HIGH MAST LIGHT","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"136","Normal/Others","WS/MP198/2023-2024/7888-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","WARD NO. 2 MOHALLA DURGA PARSAD BISALPUR BLOCK BISALPUR ME RAMPAL S/O DURGA PRASAD DWARA RAMPURA ROAD KE DUSRE CHORAHE PAR SEMI HIGH MAST LIGHT","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"137","Normal/Others","WS/MP198/2023-2024/7889-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","WARD NO. 2 MOHALLA DURGA PARSAD BISALPUR BLOCK BISALPUR ME PUTTU LAL VARMA S/O SHRI DURGA PARSAD DWARA RAMPURA ROAD CHORAHE PAR SEMI HIGH MAST LIGHT","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"138","Normal/Others","WS/MP198/2023-2024/7890-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM BUDHELI BLOCK PURANPUR ME SHIR MAYA PRAKASH DWARA SEMI HIGH MAST LIGHT  (S.C BAHULYA CHHETRE)","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"139","Normal/Others","WS/MP198/2023-2024/7892-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM JADOPUR KHURD BLOCK PURANPUR ME SHRI SANJEEV KUMAR DWARA SEMI HIGH MAST LIGHT (S.C BAHULAYA CHHETRA)","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"140","Normal/Others","WS/MP198/2023-2024/7895-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM NAVADIA SUKHDARPUR BLOCK PURANPUR ME SHRI NAND KISHOR DWARA SEMI HIGH MAST LIGHT","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"141","Normal/Others","WS/MP198/2023-2024/7894-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM KALINAGAR BLOCK PURANPUR ME SHIV DAYAL DWARA SEMI HIGH MAST LIGHT","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"142","Normal/Others","WS/MP198/2023-2024/7893-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM GURUDWARA VEERKHEDA BLOCK KALINAGAR ME SHRI DEVSWARUP DWARA SEMI HIGH MAST LIGHT","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"143","Normal/Others","WS/MP198/2023-2024/7896-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM SHIVPURIYA BLOCK PURANPUR ME SHRI SUSHIRAM DWARA SEMI HIGH MAST LIGHT","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"144","Normal/Others","WS/MP198/2023-2024/7891-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","WARD NO. 25 NEHRU NAGAR BLOCK PURANPUR ME SHRI JAY PRAKASH DWARA SEMI HIGH MAST LIGHT (S.C BAHULYA CHHETRA)","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"145","Normal/Others","WS/MP198/2023-2024/7904-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM SHIV NAGAR BLOCK BARKHERA ME SHIR ABDHESH KUMAR DWARA SEMI HIGH MAST LIGHT (S.C BAHULYA CHHETRA)","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"146","Normal/Others","WS/MP198/2023-2024/7902-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM NOGAWA PAKADIYA BLOCK LALAURIKHERA ME SHIR HARDESH KUMAR DWARA SEMI HIGH MAST LIGHT (S.C BAHULYA CHHETRA)","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"147","Normal/Others","WS/MP198/2023-2024/7903-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM NOGAWA PAKADIYA BLOCK LALAURIKHERA ME SHIR CHANDRASHEKHAR PRATAP SIGH DWARA CHORAHE PAR SEMI HIGH MAST LIGHT (S.C BAHULYA CHHETRA)","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"148","Normal/Others","WS/MP198/2023-2024/7913-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM BANGANJ BLOCK BARKHERA ME SHRI RAJ SAGAR DWARA SEMI HIGHT MAST","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"149","Normal/Others","WS/MP198/2023-2024/7907-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM ADASAI BLOCK LALAURIKHERA ME SHIR SURESH CHANDRA DWARA CHORAHE KE PASS SEMI HIGH MAST LIGHT","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"150","Normal/Others","WS/MP198/2023-2024/7910-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","DEEN ANGAR BLOCK AMARIYA ME SHRI RATAN PRAKASH KE GHAR KE PASS SEMI HIGH MAST LIGHT","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"151","Normal/Others","WS/MP198/2023-2024/7912-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","GRAM KHAPRAIL GOTIYA (BUDHI BIHAR) BLOCK MARORI ME SHRI  BYAS MUNI KE GHAR KE PASS SEMI HIGH MAST LIGHT","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"152","Normal/Others","WS/MP198/2023-2024/7906-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ???? ??? ????? ?????? ??? ???? ?????? ???? ?????? ?????? ?? ??? ???? ??? ????? ?????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"153","Normal/Others","WS/MP198/2023-2024/7908-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ??????? ????? ?????? ??? ???? ???? ??? ?????? ??????? ?????? ?? ??? ???? ??? ????? ?????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"154","Normal/Others","WS/MP198/2023-2024/7905-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ??????? ????? ?????? ??? ??0 ?????? ????? ?? ?? ?? ??? ???? ??? ????? ?????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"155","Normal/Others","WS/MP198/2023-2024/7909-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ????? ????? ????????? ??? ???? ???? ??? ?????? ???? ??? ????? ?????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"156","Normal/Others","WS/MP198/2023-2024/7911-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","??? ??????? ???? ????? ????? ?????? ???? ????????? ?? ??? ???? ??? ????? ?????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"157","Normal/Others","WS/MP198/2023-2024/3551-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","???????? ????? ?? ???","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"158","Normal/Others","WS/MP198/2023-2024/3548-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","??0 ??? ??? ???????? ????? ?? ???","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"159","Normal/Others","WS/MP198/2023-2024/3549-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","???? ??? ???? ????? ???? ???? ??? ?? ?? ?? ???","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"160","Normal/Others","WS/MP198/2023-2024/3550-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","??????? ???? ????? ???? ?????? ??? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"161","Normal/Others","WS/MP198/2023-2024/3469-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","???? ???? ????? ?????? ?? ?? ?? ???","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"162","Normal/Others","WS/MP198/2023-2024/3473-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","???? ????? ??? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"163","Normal/Others","WS/MP198/2023-2024/3472-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","???? ??? ?????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"164","Normal/Others","WS/MP198/2023-2024/3471-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","???? ????? ???? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"165","Normal/Others","WS/MP198/2023-2024/3470-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","???? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"166","Normal/Others","WS/MP198/2023-2024/3497-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","???? ?????? ????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"167","Normal/Others","WS/MP198/2023-2024/3493-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","???? ?????? ???? ?????? ???????? ??????? ??????? ????? ??? ?????? ??","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"168","Normal/Others","WS/MP198/2023-2024/3496-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","???? ??? ???? ?????? ???????? ??????? ???????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"169","Normal/Others","WS/MP198/2023-2024/3495-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","???? ??? ?????? ?????? ?????? ?? ???","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"170","Normal/Others","WS/MP198/2023-2024/3494-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","???? ?????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
"171","Normal/Others","WS/MP198/2023-2024/3499-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","???? ????? ??? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2024","283000"
